Cidade,Estado,Sigla
Entre Rios do Sul,Rio Grande do Sul,RS
Entre-Ijuís,Rio Grande do Sul,RS
Erebango,Rio Grande do Sul,RS
Erechim,Rio Grande do Sul,RS
Ernestina,Rio Grande do Sul,RS
Erval Grande,Rio Grande do Sul,RS
Erval Seco,Rio Grande do Sul,RS
Esmeralda,Rio Grande do Sul,RS
Esperança do Sul,Rio Grande do Sul,RS
Espumoso,Rio Grande do Sul,RS
Estação,Rio Grande do Sul,RS
Estância Velha,Rio Grande do Sul,RS
Esteio,Rio Grande do Sul,RS
Estrela,Rio Grande do Sul,RS
Estrela Velha,Rio Grande do Sul,RS
Eugênio de Castro,Rio Grande do Sul,RS
Fagundes Varela,Rio Grande do Sul,RS
Farroupilha,Rio Grande do Sul,RS
Faxinal do Soturno,Rio Grande do Sul,RS
Faxinalzinho,Rio Grande do Sul,RS
Fazenda Vilanova,Rio Grande do Sul,RS
Feliz,Rio Grande do Sul,RS
Flores da Cunha,Rio Grande do Sul,RS
Floriano Peixoto,Rio Grande do Sul,RS
Fontoura Xavier,Rio Grande do Sul,RS
Formigueiro,Rio Grande do Sul,RS
Forquetinha,Rio Grande do Sul,RS
Fortaleza dos Valos,Rio Grande do Sul,RS
Frederico Westphalen,Rio Grande do Sul,RS
Garibaldi,Rio Grande do Sul,RS
Garruchos,Rio Grande do Sul,RS
Gaurama,Rio Grande do Sul,RS
General Câmara,Rio Grande do Sul,RS
Gentil,Rio Grande do Sul,RS
Getúlio Vargas,Rio Grande do Sul,RS
Giruá,Rio Grande do Sul,RS
Glorinha,Rio Grande do Sul,RS
Gramado,Rio Grande do Sul,RS
Gramado dos Loureiros,Rio Grande do Sul,RS
Gramado Xavier,Rio Grande do Sul,RS
Gravataí,Rio Grande do Sul,RS
Guabiju,Rio Grande do Sul,RS
Guaíba,Rio Grande do Sul,RS
Guaporé,Rio Grande do Sul,RS
Guarani das Missões,Rio Grande do Sul,RS
Harmonia,Rio Grande do Sul,RS
Herval,Rio Grande do Sul,RS
Herveiras,Rio Grande do Sul,RS
Horizontina,Rio Grande do Sul,RS
Hulha Negra,Rio Grande do Sul,RS
Humaitá,Rio Grande do Sul,RS
Ibarama,Rio Grande do Sul,RS
Ibiaçá,Rio Grande do Sul,RS
Ibiraiaras,Rio Grande do Sul,RS
Ibirapuitã,Rio Grande do Sul,RS
Ibirubá,Rio Grande do Sul,RS
Igrejinha,Rio Grande do Sul,RS
Ijuí,Rio Grande do Sul,RS
Ilópolis,Rio Grande do Sul,RS
Imbé,Rio Grande do Sul,RS
Imigrante,Rio Grande do Sul,RS
Independência,Rio Grande do Sul,RS
Inhacorá,Rio Grande do Sul,RS
Ipê,Rio Grande do Sul,RS
Ipiranga do Sul,Rio Grande do Sul,RS
Iraí,Rio Grande do Sul,RS
Itaara,Rio Grande do Sul,RS
Itacurubi,Rio Grande do Sul,RS
Itapuca,Rio Grande do Sul,RS
Itaqui,Rio Grande do Sul,RS
Itati,Rio Grande do Sul,RS
Itatiba do Sul,Rio Grande do Sul,RS
Ivorá,Rio Grande do Sul,RS
Ivoti,Rio Grande do Sul,RS
Jaboticaba,Rio Grande do Sul,RS
Jacuizinho,Rio Grande do Sul,RS
Jacutinga,Rio Grande do Sul,RS
Jaguarão,Rio Grande do Sul,RS
Jaguari,Rio Grande do Sul,RS
Jaquirana,Rio Grande do Sul,RS
Jari,Rio Grande do Sul,RS
Jóia,Rio Grande do Sul,RS
Júlio de Castilhos,Rio Grande do Sul,RS
Lagoa Bonita do Sul,Rio Grande do Sul,RS
Lagoa dos Três Cantos,Rio Grande do Sul,RS
Lagoa Vermelha,Rio Grande do Sul,RS
Lagoão,Rio Grande do Sul,RS
Lajeado,Rio Grande do Sul,RS
Lajeado do Bugre,Rio Grande do Sul,RS
Lavras do Sul,Rio Grande do Sul,RS
Liberato Salzano,Rio Grande do Sul,RS
Lindolfo Collor,Rio Grande do Sul,RS
Linha Nova,Rio Grande do Sul,RS
Maçambará,Rio Grande do Sul,RS
Machadinho,Rio Grande do Sul,RS
Mampituba,Rio Grande do Sul,RS
Manoel Viana,Rio Grande do Sul,RS
Maquiné,Rio Grande do Sul,RS
Maratá,Rio Grande do Sul,RS
Marau,Rio Grande do Sul,RS
Marcelino Ramos,Rio Grande do Sul,RS
Mariana Pimentel,Rio Grande do Sul,RS
Mariano Moro,Rio Grande do Sul,RS
Marques de Souza,Rio Grande do Sul,RS
Mata,Rio Grande do Sul,RS
Mato Castelhano,Rio Grande do Sul,RS
Mato Leitão,Rio Grande do Sul,RS
Mato Queimado,Rio Grande do Sul,RS
Maximiliano de Almeida,Rio Grande do Sul,RS
Minas do Leão,Rio Grande do Sul,RS
Miraguaí,Rio Grande do Sul,RS
Montauri,Rio Grande do Sul,RS
Monte Alegre dos Campos,Rio Grande do Sul,RS
Monte Belo do Sul,Rio Grande do Sul,RS
Montenegro,Rio Grande do Sul,RS
Mormaço,Rio Grande do Sul,RS
Morrinhos do Sul,Rio Grande do Sul,RS
Morro Redondo,Rio Grande do Sul,RS
Morro Reuter,Rio Grande do Sul,RS
Mostardas,Rio Grande do Sul,RS
Muçum,Rio Grande do Sul,RS
Muitos Capões,Rio Grande do Sul,RS
Muliterno,Rio Grande do Sul,RS
Não-Me-Toque,Rio Grande do Sul,RS
Nicolau Vergueiro,Rio Grande do Sul,RS
Nonoai,Rio Grande do Sul,RS
Nova Alvorada,Rio Grande do Sul,RS
Nova Araçá,Rio Grande do Sul,RS
Nova Bassano,Rio Grande do Sul,RS
Nova Boa Vista,Rio Grande do Sul,RS
Nova Bréscia,Rio Grande do Sul,RS
Nova Candelária,Rio Grande do Sul,RS
Nova Esperança do Sul,Rio Grande do Sul,RS
Nova Hartz,Rio Grande do Sul,RS
Nova Pádua,Rio Grande do Sul,RS
Nova Palma,Rio Grande do Sul,RS
Nova Petrópolis,Rio Grande do Sul,RS
Nova Prata,Rio Grande do Sul,RS
Nova Ramada,Rio Grande do Sul,RS
Nova Roma do Sul,Rio Grande do Sul,RS
Nova Santa Rita,Rio Grande do Sul,RS
Novo Barreiro,Rio Grande do Sul,RS
Novo Cabrais,Rio Grande do Sul,RS
Novo Hamburgo,Rio Grande do Sul,RS
Novo Machado,Rio Grande do Sul,RS
Novo Tiradentes,Rio Grande do Sul,RS
Novo Xingu,Rio Grande do Sul,RS
Osório,Rio Grande do Sul,RS
Paim Filho,Rio Grande do Sul,RS
Palmares do Sul,Rio Grande do Sul,RS
Palmeira das Missões,Rio Grande do Sul,RS
Palmitinho,Rio Grande do Sul,RS
Panambi,Rio Grande do Sul,RS
Pantano Grande,Rio Grande do Sul,RS
Paraí,Rio Grande do Sul,RS
Paraíso do Sul,Rio Grande do Sul,RS
Pareci Novo,Rio Grande do Sul,RS
Parobé,Rio Grande do Sul,RS
Passa Sete,Rio Grande do Sul,RS
Passo do Sobrado,Rio Grande do Sul,RS
Passo Fundo,Rio Grande do Sul,RS
Paulo Bento,Rio Grande do Sul,RS
Paverama,Rio Grande do Sul,RS
Pedras Altas,Rio Grande do Sul,RS
Pedro Osório,Rio Grande do Sul,RS
Pejuçara,Rio Grande do Sul,RS
Pelotas,Rio Grande do Sul,RS
Picada Café,Rio Grande do Sul,RS
Pinhal,Rio Grande do Sul,RS
Pinhal da Serra,Rio Grande do Sul,RS
Pinhal Grande,Rio Grande do Sul,RS
Pinheirinho do Vale,Rio Grande do Sul,RS
Pinheiro Machado,Rio Grande do Sul,RS
Pinto Bandeira,Rio Grande do Sul,RS
Pirapó,Rio Grande do Sul,RS
Piratini,Rio Grande do Sul,RS
Planalto,Rio Grande do Sul,RS
Poço das Antas,Rio Grande do Sul,RS
Pontão,Rio Grande do Sul,RS
Ponte Preta,Rio Grande do Sul,RS
Portão,Rio Grande do Sul,RS
Porto Alegre,Rio Grande do Sul,RS
Porto Lucena,Rio Grande do Sul,RS
Porto Mauá,Rio Grande do Sul,RS
Porto Vera Cruz,Rio Grande do Sul,RS
Porto Xavier,Rio Grande do Sul,RS
Pouso Novo,Rio Grande do Sul,RS
Presidente Lucena,Rio Grande do Sul,RS
Progresso,Rio Grande do Sul,RS
Protásio Alves,Rio Grande do Sul,RS
Putinga,Rio Grande do Sul,RS
Quaraí,Rio Grande do Sul,RS
Quatro Irmãos,Rio Grande do Sul,RS
Quevedos,Rio Grande do Sul,RS
Quinze de Novembro,Rio Grande do Sul,RS
Redentora,Rio Grande do Sul,RS
Relvado,Rio Grande do Sul,RS
Restinga Sêca,Rio Grande do Sul,RS
Rio dos Índios,Rio Grande do Sul,RS
Rio Grande,Rio Grande do Sul,RS
Rio Pardo,Rio Grande do Sul,RS
Riozinho,Rio Grande do Sul,RS
Roca Sales,Rio Grande do Sul,RS
Rodeio Bonito,Rio Grande do Sul,RS
Rolador,Rio Grande do Sul,RS
Rolante,Rio Grande do Sul,RS
Ronda Alta,Rio Grande do Sul,RS
Rondinha,Rio Grande do Sul,RS
Roque Gonzales,Rio Grande do Sul,RS
Rosário do Sul,Rio Grande do Sul,RS
Sagrada Família,Rio Grande do Sul,RS
Saldanha Marinho,Rio Grande do Sul,RS
Salto do Jacuí,Rio Grande do Sul,RS
Salvador das Missões,Rio Grande do Sul,RS
Salvador do Sul,Rio Grande do Sul,RS
Sananduva,Rio Grande do Sul,RS
Sant'Ana do Livramento,Rio Grande do Sul,RS
Santa Bárbara do Sul,Rio Grande do Sul,RS
Santa Cecília do Sul,Rio Grande do Sul,RS
Santa Clara do Sul,Rio Grande do Sul,RS
Santa Cruz do Sul,Rio Grande do Sul,RS
Santa Margarida do Sul,Rio Grande do Sul,RS
Santa Maria,Rio Grande do Sul,RS
Santa Maria do Herval,Rio Grande do Sul,RS
Santa Rosa,Rio Grande do Sul,RS
Santa Tereza,Rio Grande do Sul,RS
Santa Vitória do Palmar,Rio Grande do Sul,RS
Santana da Boa Vista,Rio Grande do Sul,RS
Santiago,Rio Grande do Sul,RS
Santo Ângelo,Rio Grande do Sul,RS
Santo Antônio da Patrulha,Rio Grande do Sul,RS
Santo Antônio das Missões,Rio Grande do Sul,RS
Santo Antônio do Palma,Rio Grande do Sul,RS
Santo Antônio do Planalto,Rio Grande do Sul,RS
Santo Augusto,Rio Grande do Sul,RS
Santo Cristo,Rio Grande do Sul,RS
Santo Expedito do Sul,Rio Grande do Sul,RS
São Borja,Rio Grande do Sul,RS
São Domingos do Sul,Rio Grande do Sul,RS
São Francisco de Assis,Rio Grande do Sul,RS
São Francisco de Paula,Rio Grande do Sul,RS
São Gabriel,Rio Grande do Sul,RS
São Jerônimo,Rio Grande do Sul,RS
São João da Urtiga,Rio Grande do Sul,RS
São João do Polêsine,Rio Grande do Sul,RS
São Jorge,Rio Grande do Sul,RS
São José das Missões,Rio Grande do Sul,RS
São José do Herval,Rio Grande do Sul,RS
São José do Hortêncio,Rio Grande do Sul,RS
São José do Inhacorá,Rio Grande do Sul,RS
São José do Norte,Rio Grande do Sul,RS
São José do Ouro,Rio Grande do Sul,RS
São José do Sul,Rio Grande do Sul,RS
São José dos Ausentes,Rio Grande do Sul,RS
São Leopoldo,Rio Grande do Sul,RS
São Lourenço do Sul,Rio Grande do Sul,RS
São Luiz Gonzaga,Rio Grande do Sul,RS
São Marcos,Rio Grande do Sul,RS
São Martinho,Rio Grande do Sul,RS
São Martinho da Serra,Rio Grande do Sul,RS
São Miguel das Missões,Rio Grande do Sul,RS
São Nicolau,Rio Grande do Sul,RS
São Paulo das Missões,Rio Grande do Sul,RS
São Pedro da Serra,Rio Grande do Sul,RS
São Pedro das Missões,Rio Grande do Sul,RS
São Pedro do Butiá,Rio Grande do Sul,RS
São Pedro do Sul,Rio Grande do Sul,RS
São Sebastião do Caí,Rio Grande do Sul,RS
São Sepé,Rio Grande do Sul,RS
São Valentim,Rio Grande do Sul,RS
São Valentim do Sul,Rio Grande do Sul,RS
São Valério do Sul,Rio Grande do Sul,RS
São Vendelino,Rio Grande do Sul,RS
São Vicente do Sul,Rio Grande do Sul,RS
Sapiranga,Rio Grande do Sul,RS
Sapucaia do Sul,Rio Grande do Sul,RS
Sarandi,Rio Grande do Sul,RS
Seberi,Rio Grande do Sul,RS
Sede Nova,Rio Grande do Sul,RS
Segredo,Rio Grande do Sul,RS
Selbach,Rio Grande do Sul,RS
Senador Salgado Filho,Rio Grande do Sul,RS
Sentinela do Sul,Rio Grande do Sul,RS
Serafina Corrêa,Rio Grande do Sul,RS
Sério,Rio Grande do Sul,RS
Sertão,Rio Grande do Sul,RS
Sertão Santana,Rio Grande do Sul,RS
Sete de Setembro,Rio Grande do Sul,RS
Severiano de Almeida,Rio Grande do Sul,RS
Silveira Martins,Rio Grande do Sul,RS
Sinimbu,Rio Grande do Sul,RS
Sobradinho,Rio Grande do Sul,RS
Soledade,Rio Grande do Sul,RS
Tabaí,Rio Grande do Sul,RS
Tapejara,Rio Grande do Sul,RS
Tapera,Rio Grande do Sul,RS
Tapes,Rio Grande do Sul,RS
Taquara,Rio Grande do Sul,RS
Taquari,Rio Grande do Sul,RS
Taquaruçu do Sul,Rio Grande do Sul,RS
Tavares,Rio Grande do Sul,RS
Tenente Portela,Rio Grande do Sul,RS
Terra de Areia,Rio Grande do Sul,RS
Teutônia,Rio Grande do Sul,RS
Tio Hugo,Rio Grande do Sul,RS
Tiradentes do Sul,Rio Grande do Sul,RS
Toropi,Rio Grande do Sul,RS
Torres,Rio Grande do Sul,RS
Tramandaí,Rio Grande do Sul,RS
Travesseiro,Rio Grande do Sul,RS
Três Arroios,Rio Grande do Sul,RS
Três Cachoeiras,Rio Grande do Sul,RS
Três Coroas,Rio Grande do Sul,RS
Três de Maio,Rio Grande do Sul,RS
Três Forquilhas,Rio Grande do Sul,RS
Três Palmeiras,Rio Grande do Sul,RS
Três Passos,Rio Grande do Sul,RS
Trindade do Sul,Rio Grande do Sul,RS
Triunfo,Rio Grande do Sul,RS
Tucunduva,Rio Grande do Sul,RS
Tunas,Rio Grande do Sul,RS
Tupanci do Sul,Rio Grande do Sul,RS
Tupanciretã,Rio Grande do Sul,RS
Tupandi,Rio Grande do Sul,RS
Tuparendi,Rio Grande do Sul,RS
Turuçu,Rio Grande do Sul,RS
Ubiretama,Rio Grande do Sul,RS
União da Serra,Rio Grande do Sul,RS
Unistalda,Rio Grande do Sul,RS
Uruguaiana,Rio Grande do Sul,RS
Vacaria,Rio Grande do Sul,RS
Vale do Sol,Rio Grande do Sul,RS
Vale Real,Rio Grande do Sul,RS
Vale Verde,Rio Grande do Sul,RS
Vanini,Rio Grande do Sul,RS
Venâncio Aires,Rio Grande do Sul,RS
Vera Cruz,Rio Grande do Sul,RS
Veranópolis,Rio Grande do Sul,RS
Vespasiano Corrêa,Rio Grande do Sul,RS
Viadutos,Rio Grande do Sul,RS
Viamão,Rio Grande do Sul,RS
Vicente Dutra,Rio Grande do Sul,RS
Victor Graeff,Rio Grande do Sul,RS
Vila Flores,Rio Grande do Sul,RS
Vila Lângaro,Rio Grande do Sul,RS
Vila Maria,Rio Grande do Sul,RS
Vila Nova do Sul,Rio Grande do Sul,RS
Vista Alegre,Rio Grande do Sul,RS
Vista Alegre do Prata,Rio Grande do Sul,RS
Vista Gaúcha,Rio Grande do Sul,RS
Vitória das Missões,Rio Grande do Sul,RS
Westfália,Rio Grande do Sul,RS
Xangri-lá,Rio Grande do Sul,RS
